date,domestic_price,international_price,exchange_rate,premium
2024-01-02,86.94,2064.4,1289.4,-99.9
2024-01-03,86.82,2034.2,1299.3,-99.9
2024-01-04,86.3,2042.3,1308.8,-99.9
2024-01-05,86.68,2042.4,1310.2,-99.9
2024-01-08,86.24,2026.6,1313.7,-99.9
2024-01-09,86.25,2026.4,1314.8,-99.9
2024-01-10,86.29,2021.7,1312.1,-99.9
2024-01-11,86.25,2014.3,1320.1,-99.9
2024-01-12,86.15,2046.7,1316.0,-99.9
2024-01-16,87.73,2026.0,1319.3,-99.9
2024-01-17,87.42,2002.6,1329.0,-99.9
2024-01-18,86.94,2018.6,1343.2,-99.9
2024-01-19,87.13,2026.5,1342.4,-99.9
2024-01-22,87.26,2019.8,1336.5,-99.9
2024-01-23,87.26,2023.7,1334.7,-99.9
2024-01-24,87.41,2013.9,1336.0,-99.9
2024-01-25,86.8,2016.9,1339.1,-99.9
2024-01-26,86.95,2016.8,1335.7,-99.9
2024-01-29,87.17,2025.2,1336.6,-99.9
2024-01-30,87.19,2031.5,1336.9,-99.9
2024-01-31,87.42,2048.4,1330.6,-99.9
2024-02-01,87.65,2053.0,1333.5,-99.9
2024-02-02,87.59,2036.1,1332.5,-99.9
2024-02-05,87.05,2025.7,1325.1,-99.9
2024-02-06,86.8,2034.5,1334.6,-99.9
2024-02-07,87.04,2035.2,1329.6,-99.9
2024-02-08,87.06,2032.2,1325.3,-99.9
2024-02-13,86.68,1992.9,1327.2,-99.9
2024-02-14,86.03,1990.3,1328.4,-99.9
2024-02-15,86.0,2002.1,1336.9,-99.9
2024-02-16,86.25,2011.5,1333.2,-99.9
2024-02-20,86.9,2027.5,1333.8,-99.9
2024-02-21,87.21,2022.3,1337.9,-99.9
2024-02-22,86.88,2019.7,1335.0,-99.9
2024-02-23,86.6,2038.6,1331.0,-99.9
2024-02-26,87.08,2028.5,1329.3,-99.9
2024-02-27,87.1,2034.0,1331.4,-99.9
2024-02-28,87.26,2033.0,1331.3,-99.9
2024-02-29,87.33,2045.7,1334.0,-99.9
2024-03-04,89.04,2117.7,1334.1,-99.9
2024-03-05,90.81,2133.5,1330.1,-99.9
2024-03-06,91.25,2150.3,1333.2,-99.9
2024-03-07,92.33,2158.0,1335.7,-99.9
2024-03-08,91.74,2178.6,1329.6,-99.9
2024-03-11,91.97,2182.5,1323.1,-99.9
2024-03-12,91.79,2160.4,1314.4,-99.9
2024-03-13,91.44,2175.4,1311.1,-99.9
2024-03-14,92.2,2163.0,1312.8,-99.9
2024-03-15,92.79,2157.3,1316.9,-99.9
2024-03-18,92.35,2160.7,1328.4,-99.9
2024-03-19,93.12,2156.3,1333.0,-99.9
2024-03-20,93.19,2157.9,1338.5,-99.9
2024-03-21,94.07,2182.4,1338.7,-99.9
2024-03-22,93.78,2158.1,1326.3,-99.9
2024-03-25,94.05,2174.8,1336.1,-99.9
2024-03-26,94.31,2175.6,1340.7,-99.9
2024-03-27,94.99,2190.6,1338.6,-99.9
2024-03-28,95.8,2217.4,1345.8,-99.9
2024-04-01,99.84,2236.5,1347.4,-99.9
2024-04-02,101.38,2261.0,1347.1,-99.9
2024-04-03,104.99,2294.4,1353.0,-99.89
2024-04-04,100.9,2288.8,1349.1,-99.9
2024-04-05,99.91,2325.7,1346.8,-99.9
2024-04-08,102.67,2331.7,1351.8,-99.9
2024-04-09,103.49,2343.5,1353.6,-99.9
2024-04-11,103.44,2354.8,1354.4,-99.9
2024-04-12,106.38,2356.2,1363.7,-99.9
2024-04-15,107.3,2365.8,1371.6,-99.9
2024-04-16,110.7,2390.8,1383.7,-99.9
2024-04-17,109.24,2371.7,1395.3,-99.9
2024-04-18,107.49,2382.3,1386.3,-99.9
2024-04-19,108.58,2398.4,1375.9,-99.9
2024-04-22,107.0,2332.2,1385.0,-99.9
2024-04-23,103.33,2327.7,1380.6,-99.9
2024-04-24,103.62,2324.5,1377.9,-99.9
2024-04-25,103.7,2329.8,1370.0,-99.9
2024-04-26,105.03,2334.8,1376.6,-99.9
2024-04-29,104.91,2345.4,1375.9,-99.9
2024-04-30,104.25,2291.4,1378.7,-99.9
2024-05-02,103.88,2299.2,1378.0,-99.9
2024-05-03,101.8,2299.0,1378.5,-99.9
2024-05-07,102.11,2315.2,1365.2,-99.9
2024-05-08,102.39,2313.6,1357.8,-99.9
2024-05-09,102.38,2332.1,1364.4,-99.9
2024-05-10,104.2,2367.3,1367.9,-99.9
2024-05-13,104.13,2336.1,1367.9,-99.9
2024-05-14,103.65,2353.4,1370.1,-99.9
2024-05-16,103.97,2380.0,1369.0,-99.9
2024-05-17,104.32,2412.2,1349.4,-99.9
2024-05-20,106.89,2433.9,1355.2,-99.9
2024-05-21,106.27,2421.7,1356.2,-99.9
2024-05-22,106.15,2389.2,1364.4,-99.9
2024-05-23,104.07,2335.0,1363.1,-99.9
2024-05-24,103.25,2332.5,1364.5,-99.9
2024-05-28,103.04,2355.2,1365.4,-99.9
2024-05-29,103.6,2340.3,1359.5,-99.9
2024-05-30,103.55,2342.9,1364.8,-99.9
2024-05-31,104.5,2322.9,1376.5,-99.9
2024-06-03,103.09,2346.6,1381.6,-99.9
2024-06-04,104.04,2325.5,1377.6,-99.9
2024-06-05,103.27,2354.1,1373.1,-99.9
2024-06-07,104.38,2305.2,1371.5,-99.9
2024-06-10,102.27,2307.7,1366.9,-99.9
2024-06-11,102.43,2307.5,1377.9,-99.9
2024-06-12,102.84,2336.0,1377.4,-99.9
2024-06-13,102.44,2300.2,1377.8,-99.9
2024-06-14,102.61,2331.4,1371.0,-99.9
2024-06-17,103.32,2312.4,1377.7,-99.9
2024-06-18,103.4,2330.4,1380.4,-99.9
2024-06-20,104.42,2353.8,1380.8,-99.9
2024-06-21,105.44,2316.4,1383.8,-99.9
2024-06-24,104.21,2330.0,1389.1,-99.9
2024-06-25,104.19,2316.6,1389.7,-99.9
2024-06-26,103.76,2299.2,1386.4,-99.9
2024-06-27,103.02,2324.5,1390.1,-99.9
2024-06-28,103.41,2327.7,1389.2,-99.9
2024-07-01,103.62,2327.6,1382.4,-99.9
2024-07-02,104.32,2323.0,1380.8,-99.9
2024-07-03,104.55,2359.8,1387.4,-99.9
2024-07-05,105.15,2388.5,1381.9,-99.9
